Province,Year,Scenario,Demand_ton_per_h
Jiangsu,2055,low,7.13118562548757
Jiangxi,2055,low,19.577601158924505
Jilin,2055,low,1.0095374432428794
Liaoning,2055,low,6.865158355938791
Ningxia,2055,low,11.063227903801799
Qinghai,2055,low,22.670636463565582
Shaanxi,2055,low,15.1066838459249
Shandong,2055,low,64.15186829397587
Shanxi,2055,low,11.305759554964874
Sichuan,2055,low,12.91707848986942
Tibet,2055,low,0.03183153615971594
Xinjiang,2055,low,65.24856552367383
Yunnan,2055,low,56.15666410636826
Zhejiang,2055,low,5.243228726356017
Anhui,2060,low,12.671377544151897
Chongqing,2060,low,2.948285833034168
Fujian,2060,low,4.902575622478752
Gansu,2060,low,23.548677089150274
Guangdong,2060,low,3.216933574612558
Guangxi,2060,low,24.199781118275677
Guizhou,2060,low,9.201915071270344
Hebei,2060,low,0.40639074489888743
Heilongjiang,2060,low,1.1844918818051904
Henan,2060,low,23.364042873194407
Hubei,2060,low,5.710472485908164
Hunan,2060,low,9.68987702860757
InnerMongolia,2060,low,39.68316716252255
Jiangsu,2060,low,4.595828925110344
Jiangxi,2060,low,12.617159391963982
Jilin,2060,low,0.6506157077239659
Liaoning,2060,low,4.424382564789747
Ningxia,2060,low,7.1299087522916444
Qinghai,2060,low,14.61052513308996
Shaanxi,2060,low,9.735791245351567
Shandong,2060,low,41.343898110234
Shanxi,2060,low,7.286212912105717
Sichuan,2060,low,8.324658208234997
Tibet,2060,low,0.020514442099313066
Xinjiang,2060,low,42.05068560884013
Yunnan,2060,low,36.191235902670435
Zhejiang,2060,low,3.379099003597863
Anhui,2025,low,163.86874902231622
Chongqing,2025,low,38.12781282351594
Fujian,2025,low,63.40107312276181
Gansu,2025,low,304.53612815841745
Guangdong,2025,low,41.602018306442204
Guangxi,2025,low,312.9563336462897
Guizhou,2025,low,119.00097728795076
Hebei,2025,low,5.255525119410776
Heilongjiang,2025,low,15.318082207098906
Henan,2025,low,302.1484021286324
Hubei,2025,low,73.84895441174851
Hunan,2025,low,125.31139738558538
InnerMongolia,2025,low,513.1905301935558
Jiangsu,2025,low,59.434164442995815
Jiangxi,2025,low,163.1675892042635
Jilin,2025,low,8.413890419372795
Liaoning,2025,low,57.21698635858685
Ningxia,2025,low,92.20538365384921
Qinghai,2025,low,188.94618740355807
Shaanxi,2025,low,125.90516907567687
Shandong,2025,low,534.6674297584118
Shanxi,2025,low,94.22673982025414
Sichuan,2025,low,107.65611882911732
Tibet,2025,low,0.2652968039182649
Xinjiang,2025,low,543.8077448360452
Yunnan,2025,low,468.03218768264406
Zhejiang,2025,low,43.699173559680915
Anhui,2030,mid,118.90386801752818
Chongqing,2030,mid,27.665704722911897
Fujian,2030,mid,46.00409093091866
Gansu,2030,mid,220.97272240838453
Guangdong,2030,mid,30.1866031411416
Guangxi,2030,mid,227.08245967057647
Guizhou,2030,mid,86.347620164455
Hebei,2030,mid,3.8134315962595258
Heilongjiang,2030,mid,11.114866232282601
Henan,2030,mid,219.24017814719102
Hubei,2030,mid,53.58511846216134
Hunan,2030,mid,90.92648808711253
InnerMongolia,2030,mid,372.37325258197893
Jiangsu,2030,mid,43.12568495717044
Jiangxi,2030,mid,118.39510344244998
Jilin,2030,mid,6.105155021368984
Liaoning,2030,mid,41.51689101755223
Ningxia,2030,mid,66.90462235108525
Qinghai,2030,mid,137.10016500088287
Shaanxi,2030,mid,91.3573313753686
Shandong,2030,mid,387.95698313781276
Shanxi,2030,mid,68.37132706605135
Sichuan,2030,mid,78.1157421467436
Tibet,2030,mid,0.19250050022822554
Xinjiang,2030,mid,394.5892350108136
Yunnan,2030,mid,339.60616532560067
Zhejiang,2030,mid,31.708307999030048
Anhui,2035,mid,83.74636263950954
Chongqing,2035,mid,19.485506897563887
Fujian,2035,mid,32.40159757825326
Gansu,2035,mid,155.63548985239268
Guangdong,2035,mid,21.261025866209287
Guangxi,2035,mid,159.93869950337077
Guizhou,2035,mid,60.81634880275782
Hebei,2035,mid,2.6858758313416304
Heilongjiang,2035,mid,7.828421679613987
Henan,2035,mid,154.41522441943366
Hubei,2035,mid,37.74106627171884
Hunan,2035,mid,64.04133668517699
InnerMongolia,2035,mid,262.2698989353902
Jiangsu,2035,mid,30.37427891721766
Jiangxi,2035,mid,83.38802961542024
Jilin,2035,mid,4.299982287494791
Liaoning,2035,mid,29.24117330067329
Ningxia,2035,mid,47.12225816613008
Qinghai,2035,mid,96.56237704906259
Shaanxi,2035,mid,64.34478819487701
Shandong,2035,mid,273.24583077145866
Shanxi,2035,mid,48.15528751153811
Sichuan,2035,mid,55.01847314766274
Tibet,2035,mid,0.13558193664501697
Xinjiang,2035,mid,277.91705787057214
Yunnan,2035,mid,239.19138670727176
Zhejiang,2035,mid,22.332792907801604
Anhui,2040,mid,61.78549670427265
Chongqing,2040,mid,14.37580910090218
Fujian,2040,mid,23.90490449121743
Gansu,2040,mid,114.8230889350442
Guangdong,2040,mid,15.685732516416104
Guangxi,2040,mid,117.99786497699337
Guizhou,2040,mid,44.86843607397413
Hebei,2040,mid,1.9815567756629164
Heilongjiang,2040,mid,5.775569310006742
Henan,2040,mid,113.92281454090761
Hubei,2040,mid,27.84420065841652
Hunan,2040,mid,47.24773317895101
InnerMongolia,2040,mid,193.49468401458174
Jiangsu,2040,mid,22.40921098881293
Jiangxi,2040,mid,61.521129594094944
Jilin,2040,mid,3.172394992198745
Liaoning,2040,mid,21.573240432838404
Ningxia,2040,mid,34.765356188111646
Qinghai,2040,mid,71.24075889245725
Shaanxi,2040,mid,47.47161039178212
Shandong,2040,mid,201.59238974065457
Shanxi,2040,mid,35.527493541955515
Sichuan,2040,mid,40.590941316122304
Tibet,2040,mid,0.10002819269654503
Xinjiang,2040,mid,205.03867776368836
Yunnan,2040,mid,176.46806582761806
Zhejiang,2040,mid,16.476449353887553
Anhui,2045,mid,58.99663844265665
Chongqing,2045,mid,13.726917433487728
Fujian,2045,mid,22.82589090486452
Gansu,2045,mid,109.64023313097938
Guangdong,2045,mid,14.97771385424873
Guangxi,2045,mid,112.67170692781188
Guizhou,2045,mid,42.843175854255946
Hebei,2045,mid,1.8921137626671736
Heilongjiang,2045,mid,5.514873110333166
Henan,2045,mid,108.78059509676115
Hubei,2045,mid,26.587376109186202
Hunan,2045,mid,45.11507684295956
InnerMongolia,2045,mid,184.76076947350907
Jiangsu,2045,mid,21.39770964082546
Jiangxi,2045,mid,58.7442042688256
Jilin,2045,mid,3.029200222308826
Liaoning,2045,mid,20.599472914242263
Ningxia,2045,mid,33.19612625560334
Qinghai,2045,mid,68.02511137647178
Shaanxi,2045,mid,45.328848742280286
Shandong,2045,mid,192.49296298848185
Shanxi,2045,mid,33.923862444624866
Sichuan,2045,mid,38.758757582485515
Tibet,2045,mid,0.09551314521005318
Xinjiang,2045,mid,195.78369332666043
Yunnan,2045,mid,168.5026945099717
Zhejiang,2045,mid,15.732739513330273
Anhui,2050,mid,47.79574692562764
Chongqing,2050,mid,11.120773810827679
Fujian,2050,mid,18.492248606694734
Gansu,2050,mid,88.82432921476688
Guangdong,2050,mid,12.13409848084733
Guangxi,2050,mid,91.28025820038033
Guizhou,2050,mid,34.70912317505201
Hebei,2050,mid,1.5328837869777614
Heilongjiang,2050,mid,4.467838956021771
Henan,2050,mid,88.12789899406754
Hubei,2050,mid,21.53959163565386
Hunan,2050,mid,36.54968913885188
InnerMongolia,2050,mid,149.68274824884097
Jiangsu,2050,mid,17.335216747561233
Jiangxi,2050,mid,47.591239004391824
Jilin,2050,mid,2.4540870638460732
Liaoning,2050,mid,16.688530401057015
Ningxia,2050,mid,26.89362803214917
Qinghai,2050,mid,55.110106164738134
Shaanxi,2050,mid,36.722875067227704
Shandong,2050,mid,155.94693505976966
Shanxi,2050,mid,27.48319882189682
Sichuan,2050,mid,31.40015799993112
Tibet,2050,mid,0.07737935985908108
Xinjiang,2050,mid,158.61289906375174
Yunnan,2050,mid,136.51137345584482
Zhejiang,2050,mid,12.745777659126146
Anhui,2055,mid,40.39216385231429
Chongqing,2055,mid,9.39816085791986
Fujian,2055,mid,15.627790834226733
Gansu,2055,mid,75.06539996743982
Guangdong,2055,mid,10.254521072788258
Guangxi,2055,mid,77.14090442918422
Guizhou,2055,mid,29.332664110017973
Hebei,2055,mid,1.2954393868246614
Heilongjiang,2055,mid,3.7757686569517785
Henan,2055,mid,74.47684710665989
Hubei,2055,mid,18.20309903333191
Hunan,2055,mid,30.888125563659035
InnerMongolia,2055,mid,126.4968220402489
Jiangsu,2055,mid,14.649983739608253
Jiangxi,2055,mid,40.219334301674415
Jilin,2055,mid,2.073947854501779
Liaoning,2055,mid,14.103469404144503
Ningxia,2055,mid,22.727792741644596
Qinghai,2055,mid,46.57352549774609
Shaanxi,2055,mid,31.03448491246797
Shandong,2055,mid,131.79068344725349
Shanxi,2055,mid,23.22603874623327
Sichuan,2055,mid,26.536259154927304
Tibet,2055,mid,0.06539326160293393
Xinjiang,2055,mid,134.04368840689514
Yunnan,2055,mid,115.36569923079075
Zhejiang,2055,mid,10.771450866406342
Anhui,2060,mid,29.755357843800606
Chongqing,2060,mid,6.923264631810091
Fujian,2060,mid,11.512394094079726
Gansu,2060,mid,55.29780097659251
Guangdong,2060,mid,7.5541123558827685
Guangxi,2060,mid,56.826745506314
Guizhou,2060,mid,21.60824857754146
Hebei,2060,mid,0.9543005089021224
Heilongjiang,2060,mid,2.781463947655517
Henan,2060,mid,54.86423665836162
Hubei,2060,mid,13.409524866836227
Hunan,2060,mid,22.754097369761496
InnerMongolia,2060,mid,93.18535693391708
Jiangsu,2060,mid,10.792081111864666
Jiangxi,2060,mid,29.628040942827546
Jilin,2060,mid,1.52779783687046
Liaoning,2060,mid,10.389484962820797
Ningxia,2060,mid,16.742693174349995
Qinghai,2060,mid,34.30892987807599
Shaanxi,2060,mid,22.861914688326515
Shandong,2060,mid,97.08514158315867
Shanxi,2060,mid,17.109731895399612
Sichuan,2060,mid,19.548244304952025
Tibet,2060,mid,0.048172707624255684
Xinjiang,2060,mid,98.74484392154068
Yunnan,2060,mid,84.98548570122644
Zhejiang,2060,mid,7.9349147076821716
Anhui,2025,mid,163.86874902231622
Chongqing,2025,mid,38.12781282351594
Fujian,2025,mid,63.40107312276181
Gansu,2025,mid,304.53612815841745
Guangdong,2025,mid,41.602018306442204
Guangxi,2025,mid,312.9563336462897
Guizhou,2025,mid,119.00097728795076
Hebei,2025,mid,5.255525119410776
Heilongjiang,2025,mid,15.318082207098906
Henan,2025,mid,302.1484021286324
Hubei,2025,mid,73.84895441174851
Hunan,2025,mid,125.31139738558538
InnerMongolia,2025,mid,513.1905301935558
Jiangsu,2025,mid,59.434164442995815
Jiangxi,2025,mid,163.1675892042635
Jilin,2025,mid,8.413890419372795
Liaoning,2025,mid,57.21698635858685
Ningxia,2025,mid,92.20538365384921
Qinghai,2025,mid,188.94618740355807
Shaanxi,2025,mid,125.90516907567687
Shandong,2025,mid,534.6674297584118
Shanxi,2025,mid,94.22673982025414
Sichuan,2025,mid,107.65611882911732
Tibet,2025,mid,0.2652968039182649
Xinjiang,2025,mid,543.8077448360452
Yunnan,2025,mid,468.03218768264406
Zhejiang,2025,mid,43.699173559680915
Anhui,2030,high,128.03879760961382
Chongqing,2030,high,29.791155046546244
Fujian,2030,high,49.53840935645463
Gansu,2030,high,237.94921185845445
Guangdong,2030,high,32.50572445246773
Guangxi,2030,high,244.5283368760392
Guizhou,2030,high,92.98137770151149
Hebei,2030,high,4.106402966467013
Heilongjiang,2030,high,11.968778911072699
Henan,2030,high,236.08356284545556
Hubei,2030,high,57.70185824949317
Hunan,2030,high,97.91202254095336
InnerMongolia,2030,high,400.9812659378678
Jiangsu,2030,high,46.43886645633028
Jiangxi,2030,high,127.49094659731725
Jilin,2030,high,6.574190740717931
Liaoning,2030,high,44.70647502899688
Ningxia,2030,high,72.04464869969947
Qinghai,2030,high,147.63304652296895
Shaanxi,2030,high,98.37596587186626
Shandong,2030,high,417.76223493331736
Shanxi,2030,high,73.62403473047962
Sichuan,2030,high,84.11707596742995
Tibet,2030,high,0.20728957770186063
Xinjiang,2030,high,424.904017361606
Yunnan,2030,high,365.6968086411759
Zhejiang,2030,high,34.14433607687698
Anhui,2035,high,130.1291805641986
Chongqing,2035,high,30.27753045672908
Fujian,2035,high,50.3471817633286
Gansu,2035,high,241.83401073045238
Guangdong,2035,high,33.03641837954633
Guangxi,2035,high,248.5205476501293
Guizhou,2035,high,94.49940731964074
Hebei,2035,high,4.173444792273058
Heilongjiang,2035,high,12.16418320953529
Henan,2035,high,239.93790281773855
Hubei,2035,high,58.6439084966407
Hunan,2035,high,99.51055069640023
InnerMongolia,2035,high,407.52775355781574
Jiangsu,2035,high,47.19703520426348
Jiangxi,2035,high,129.5723852440896
Jilin,2035,high,6.681522084975683
Liaoning,2035,high,45.43636046298168
Ningxia,2035,high,73.22086175716724
Qinghai,2035,high,150.04332848239488
Shaanxi,2035,high,99.98206844420035
Shandong,2035,high,424.58269147678214
Shanxi,2035,high,74.82603311004577
Sichuan,2035,high,85.49038550387179
Tibet,2035,high,0.210673822227588
Xinjiang,2035,high,431.84107184672723
Yunnan,2035,high,371.667236274059
Zhejiang,2035,high,34.70178225306131
Anhui,2040,high,119.9519687306435
Chongqing,2040,high,27.909569328263903
Fujian,2040,high,46.40960272220715
Gansu,2040,high,222.92052841164355
Guangdong,2040,high,30.45268868407865
Guangxi,2040,high,229.08412111258798
Guizhou,2040,high,87.10874765155098
Hebei,2040,high,3.847045812870771
Heilongjiang,2040,high,11.212840330337338
Henan,2040,high,221.17271231021527
Hubei,2040,high,54.057454659536184
Hunan,2040,high,91.72797687460198
InnerMongolia,2040,high,375.6556072949367
Jiangsu,2040,high,43.50582449266926
Jiangxi,2040,high,119.43871955365252
Jilin,2040,high,6.158970069089997
Liaoning,2040,high,41.88284953351416
Ningxia,2040,high,67.49436584358918
Qinghai,2040,high,138.3086604274948
Shaanxi,2040,high,92.16261791279832
Shandong,2040,high,391.37670360161525
Shanxi,2040,high,68.97399910565233
Sichuan,2040,high,78.80430818260598
Tibet,2040,high,0.19419733242492512
Xinjiang,2040,high,398.06741671758107
Yunnan,2040,high,342.59968832860045
Zhejiang,2040,high,31.9878068982632
Anhui,2045,high,108.54819979236309
Chongqing,2045,high,25.2562216328948
Fujian,2045,high,41.9974668351349
Gansu,2045,high,201.72759406877992
Guangdong,2045,high,27.557568003880068
Guangxi,2045,high,207.30521733766713
Guizhou,2045,high,78.82736601827486
Hebei,2045,high,3.481309243398777
Heilongjiang,2045,high,10.146841650848112
Henan,2045,high,200.1459419009512
Hubei,2045,high,48.918241615745295
Hunan,2045,high,83.0074476117366
InnerMongolia,2045,high,339.94223142212803
Jiangsu,2045,high,39.36974923493123
Jiangxi,2045,high,108.08374493766715
Jilin,2045,high,5.573440108148684
Liaoning,2045,high,37.90106962934702
Ningxia,2045,high,61.07771290440797
Qinghai,2045,high,125.15973071530318
Shaanxi,2045,high,83.40076756097427
Shandong,2045,high,354.16873158640897
Shanxi,2045,high,62.416678230692156
Sichuan,2045,high,71.31242512836894
Tibet,2045,high,0.17573509682479754
Xinjiang,2045,high,360.22336221690824
Yunnan,2045,high,310.02892083415946
Zhejiang,2045,high,28.946743357828478
Anhui,2050,high,98.88777503911943
Chongqing,2050,high,23.008502839745454
Fujian,2050,high,38.25983351681422
Gansu,2050,high,183.7745165706542
Guangdong,2050,high,25.105037122731286
Guangxi,2050,high,188.8557501251648
Guizhou,2050,high,71.81199552505075
Hebei,2050,high,3.1714844277596734
Heilongjiang,2050,high,9.243806865945183
Henan,2050,high,182.33362612694748
Hubei,2050,high,44.56468261528412
Hunan,2050,high,75.62006391356482
InnerMongolia,2050,high,309.6885159907805
Jiangsu,2050,high,35.865973946482065
Jiangxi,2050,high,98.46465510461242
Jilin,2050,high,5.077422681010583
Liaoning,2050,high,34.52800188688673
Ningxia,2050,high,55.64200184939364
Qinghai,2050,high,114.02093557153987
Shaanxi,2050,high,75.97837970998533
Shandong,2050,high,322.6489054816285
Shanxi,2050,high,56.86180376434062
Sichuan,2050,high,64.96585910293774
Tibet,2050,high,0.16009526417324413
Xinjiang,2050,high,328.16469434665856
Yunnan,2050,high,282.4373894520016
Zhejiang,2050,high,26.37058054172776
Anhui,2055,high,82.5266659886474
Chongqing,2055,high,19.201716572178487
Fujian,2055,high,31.92969505254124
Gansu,2055,high,153.3687873981574
Guangdong,2055,high,20.951376572489693
Guangxi,2055,high,157.60932435227045
Guizhou,2055,high,59.930608877888616
Hebei,2055,high,2.6467582666753233
Heilongjiang,2055,high,7.714407179124419
Henan,2055,high,152.1662941240699
Hubei,2055,high,37.19139879147576
Hunan,2055,high,63.108627473579595
InnerMongolia,2055,high,258.4501543247444
Jiangsu,2055,high,29.93190261453385
Jiangxi,2055,high,82.17355178929984
Jilin,2055,high,4.237356594515145
Liaoning,2055,high,28.815299746073258
Ningxia,2055,high,46.4359613688149
Qinghai,2055,high,95.15602572616386
Shaanxi,2055,high,63.40765946249788
Shandong,2055,high,269.2662307727267
Shanxi,2055,high,47.453945494429206
Sichuan,2055,high,54.217174496369495
Tibet,2055,high,0.13360729764182622
Xinjiang,2055,high,273.8694253045903
Yunnan,2055,high,235.70776157912442
Zhejiang,2055,high,22.007534211715946
Anhui,2060,high,66.84519916568597
Chongqing,2060,high,15.553064615101398
Fujian,2060,high,25.86251122007454
Gansu,2060,high,124.2261154817507
Guangdong,2060,high,16.970259527702442
Guangxi,2060,high,127.66087846255658
Guizhou,2060,high,48.54277630837988
Hebei,2060,high,2.1438292866899022
Heilongjiang,2060,high,6.248538919586387
Henan,2060,high,123.25211633324719
Hubei,2060,high,30.124401969766236
Hunan,2060,high,51.11691744732327
InnerMongolia,2060,high,209.3402397064771
Jiangsu,2060,high,24.244333243168555
Jiangxi,2060,high,66.55918265573916
Jilin,2060,high,3.4321869434948695
Liaoning,2060,high,23.339903865862894
Ningxia,2060,high,37.61234079873686
Qinghai,2060,high,77.07476626228376
Shaanxi,2060,high,51.35912828447139
Shandong,2060,high,218.10107810574212
Shanxi,2060,high,38.43689066766717
Sichuan,2060,high,43.9149914030105
Tibet,2060,high,0.1082196440855315
Xinjiang,2060,high,221.82958757107235
Yunnan,2060,high,190.91928746790796
Zhejiang,2060,high,17.825729294942903
Anhui,2025,high,163.86874902231622
Chongqing,2025,high,38.12781282351594
Fujian,2025,high,63.40107312276181
Gansu,2025,high,304.53612815841745
Guangdong,2025,high,41.602018306442204
Guangxi,2025,high,312.9563336462897
Guizhou,2025,high,119.00097728795076
Hebei,2025,high,5.255525119410776
Heilongjiang,2025,high,15.318082207098906
Henan,2025,high,302.1484021286324
Hubei,2025,high,73.84895441174851
Hunan,2025,high,125.31139738558538
InnerMongolia,2025,high,513.1905301935558
Jiangsu,2025,high,59.434164442995815
Jiangxi,2025,high,163.1675892042635
Jilin,2025,high,8.413890419372795
Liaoning,2025,high,57.21698635858685
Ningxia,2025,high,92.20538365384921
Qinghai,2025,high,188.94618740355807
Shaanxi,2025,high,125.90516907567687
Shandong,2025,high,534.6674297584118
Shanxi,2025,high,94.22673982025414
Sichuan,2025,high,107.65611882911732
Tibet,2025,high,0.2652968039182649
Xinjiang,2025,high,543.8077448360452
Yunnan,2025,high,468.03218768264406
Zhejiang,2025,high,43.699173559680915
