variable,description,province_code,province_name_cn,year,value,unit,source_file,source_sheet,source_range
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,sc,四川,2018-2020_avg,10589.78,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sx,山西,2016,6304.97,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sx,山西,2017,6629.52,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sx,山西,2018,5053.58,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sx,山西,2019,5782.16,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sx,山西,2020,4986.71,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,sx,山西,2018-2020_avg,5274.150000000001,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,nm,内蒙古,2016,7713.19,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,nm,内蒙古,2017,2693.68,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,nm,内蒙古,2018,2542.4,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,nm,内蒙古,2019,3323.88,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,nm,内蒙古,2020,4272.62,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,nm,内蒙古,2018-2020_avg,3379.6333333333337,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sd,山东,2016,1863.43,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sd,山东,2017,1896.62,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sd,山东,2018,1987.49,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sd,山东,2019,2458.63,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sd,山东,2020,3147.63,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,sd,山东,2018-2020_avg,2531.25,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,xj,新疆,2016,#N/A,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,xj,新疆,2017,2413.47,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,xj,新疆,2018,2369.13,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,xj,新疆,2019,2686.48,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,xj,新疆,2020,3076.88,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,xj,新疆,2018-2020_avg,2710.8300000000004,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ah,安徽,2016,5357.44,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ah,安徽,2017,3726.03,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ah,安徽,2018,2660.72,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ah,安徽,2019,2863.46,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ah,安徽,2020,2615.67,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,ah,安徽,2018-2020_avg,2713.2833333333333,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,yn,云南,2016,2335.05,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,yn,云南,2017,2717.45,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,yn,云南,2018,1840.91,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,yn,云南,2019,2043.76,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,yn,云南,2020,2170.29,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,yn,云南,2018-2020_avg,2018.32,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,fj,福建,2016,1776.68,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,fj,福建,2017,1989.83,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,fj,福建,2018,2067.88,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,fj,福建,2019,1894.23,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,fj,福建,2020,2080.08,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,fj,福建,2018-2020_avg,2014.0633333333335,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,bj,北京,2016,1653.6,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,bj,北京,2017,1818.73,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,bj,北京,2018,1569.52,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,bj,北京,2019,1559.93,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,bj,北京,2020,1457.64,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,bj,北京,2018-2020_avg,1529.03,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sn,陕西,2016,2206.37,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sn,陕西,2017,2395.22,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sn,陕西,2018,2201.58,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sn,陕西,2019,2049.65,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,sn,陕西,2020,1355.97,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,sn,陕西,2018-2020_avg,1869.0666666666666,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gs,甘肃,2016,1648.38,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gs,甘肃,2017,1962.23,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gs,甘肃,2018,912.08,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gs,甘肃,2019,896.04,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gs,甘肃,2020,970.02,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,gs,甘肃,2018-2020_avg,926.0466666666666,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jx,江西,2016,2212.01,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jx,江西,2017,1716.7,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jx,江西,2018,941.85,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jx,江西,2019,950.14,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jx,江西,2020,756.64,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,jx,江西,2018-2020_avg,882.8766666666667,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hi,海南,2016,408.08,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hi,海南,2017,434.71,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hi,海南,2018,284.58,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hi,海南,2019,434.46,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hi,海南,2020,612.97,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,hi,海南,2018-2020_avg,444.00333333333333,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jl,吉林,2016,1835.27,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jl,吉林,2017,1559.94,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jl,吉林,2018,431.64,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jl,吉林,2019,503.79,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,jl,吉林,2020,608.3,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,jl,吉林,2018-2020_avg,514.5766666666667,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ha,河南,2016,1334.45,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ha,河南,2017,1139.43,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ha,河南,2018,731.59,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ha,河南,2019,741.79,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,ha,河南,2020,601.34,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,ha,河南,2018-2020_avg,691.5733333333334,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gd,广东,2016,1456.46,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gd,广东,2017,1618.68,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gd,广东,2018,420.78,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gd,广东,2019,526.28,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gd,广东,2020,593.37,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,gd,广东,2018-2020_avg,513.4766666666666,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hb,湖北,2016,2904.99,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hb,湖北,2017,1672.09,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hb,湖北,2018,1427.14,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hb,湖北,2019,1600.3,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hb,湖北,2020,591.48,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,hb,湖北,2018-2020_avg,1206.3066666666666,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hl,黑龙江,2016,437.46,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hl,黑龙江,2017,537.63,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hl,黑龙江,2018,337.09,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hl,黑龙江,2019,288.49,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hl,黑龙江,2020,255.69,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,hl,黑龙江,2018-2020_avg,293.75666666666666,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hn,湖南,2016,811.32,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hn,湖南,2017,520.53,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hn,湖南,2018,322.41,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hn,湖南,2019,142.1,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,hn,湖南,2020,109.77,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,hn,湖南,2018-2020_avg,191.42666666666665,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gz,贵州,2016,442.93,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gz,贵州,2017,231.77,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gz,贵州,2018,143.4,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gz,贵州,2019,110.8,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gz,贵州,2020,99.83,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,gz,贵州,2018-2020_avg,118.00999999999999,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,js,江苏,2016,98.34,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,js,江苏,2017,72.87,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,js,江苏,2018,70.59,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,js,江苏,2019,70.76,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,js,江苏,2020,61.95,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,js,江苏,2018-2020_avg,67.76666666666667,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gx,广西,2016,490.09,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gx,广西,2017,278,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gx,广西,2018,82.96,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gx,广西,2019,12.48,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,gx,广西,2020,7.13,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,gx,广西,2018-2020_avg,34.19,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,qh,青海,2016,14.13,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,qh,青海,2017,6.1,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,qh,青海,2018,1.31,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,qh,青海,2019,6,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,qh,青海,2020,0.89,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,qh,青海,2018-2020_avg,2.733333333333334,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,zj,浙江,2016,108.53,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,zj,浙江,2017,89.15,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,zj,浙江,2018,74.65,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,zj,浙江,2019,26.56,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_raw,Raw provincial domestic iron ore production before model conversion,zj,浙江,2020,0,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!A13:G38
domestic_iron_ore_production_avg_2018_2020,Average of 2018-2020 raw provincial production used for MAXore conversion,zj,浙江,2018-2020_avg,33.73666666666667,"10,000 tonnes",input-MR-demand.xlsx,ore,ore!G13:G38
MAXore,"Domestic iron ore available in model, converted to imported-ore equivalent",bj,北京,2021,0.04704707692307692,100 million tonnes (imported-ore equivalent),input-MR-demand.xlsx,ore,ore!A44:AO74
MAXore,"Domestic iron ore available in model, converted to imported-ore equivalent",bj,北京,2022,0.04704707692307692,100 million tonnes (imported-ore equivalent),input-MR-demand.xlsx,ore,ore!A44:AO74
